Fix All Errors Report
 = = = = = = = = = = = = = = = = = = = = = 

Total Issues Found: 65909
Summary by Type:
  License Header: 41
  Markdown: 488
  MyPy: 2
  NotificationsReport: 1
  Type Check: 1
  Unit Tests: 10
  Whitespace: 65366

Details:
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:1 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:20 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:21 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:22 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:23 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:24 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:25 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:26 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:27 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:28 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:29 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:30 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:31 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:32 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:33 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:34 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:35 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:36 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:37 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:38 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:39 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:40 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:41 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:42 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:43 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:44 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:45 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:46 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:47 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:48 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:49 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:50 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:51 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:52 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:53 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:54 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:55 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:56 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:57 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:58 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:59 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:60 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:61 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:62 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:63 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:64 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:65 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:66 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:67 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:68 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:69 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:70 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:71 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:72 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:73 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:74 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:75 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:76 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:77 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:78 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:79 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:80 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:81 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:82 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:83 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:84 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:85 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:86 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:87 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:88 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:89 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:90 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:91 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:92 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:93 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:94 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:95 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:96 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:97 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:98 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:99 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:100 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:101 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:102 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:103 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:104 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:105 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:106 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:107 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:108 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:109 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:110 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:111 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:112 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:113 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:114 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:115 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:116 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:117 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:118 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:119 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:120 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:121 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:122 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:123 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:124 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:125 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:126 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:127 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:128 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:129 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:130 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:131 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:132 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:133 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:134 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:135 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:136 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:137 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:138 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:139 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:140 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:141 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:142 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:143 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:144 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:145 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:146 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:147 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:148 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:149 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:150 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:151 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:152 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:153 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:154 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:155 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:156 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:157 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:158 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:159 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:160 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:161 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:162 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:163 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:164 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:165 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:166 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:167 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:168 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:169 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:170 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:171 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:172 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:173 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:174 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:175 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:176 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:177 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:178 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:179 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:180 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:181 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:182 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:183 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:184 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:185 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:186 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:187 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:188 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:189 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:190 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:191 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:192 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:193 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:194 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:195 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:196 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:197 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:198 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:199 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:200 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:201 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:202 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:203 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:204 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:205 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:206 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:207 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:208 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:209 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:210 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:211 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:212 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:213 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:214 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:215 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:216 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:217 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:218 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:219 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:220 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:221 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:222 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:223 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:224 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:225 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:226 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:227 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:228 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:229 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:230 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:231 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:232 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:233 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:234 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:235 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:236 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:237 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:238 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:239 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:240 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:241 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:242 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:243 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:244 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:245 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:246 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:247 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:248 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:249 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:250 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:251 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:252 | Trailing whitespace
[OPEN] Whitespace | C:\Users\kdejo\DEV\DebVisor\action_audit_report.json:253 | Trailing whitespace
